id	file	line	function	type	classification	description	confirmed_by	date_added
PYPY-FUZZ-001	unknown (PEG parser, C-generated)	n/a	_maybe_raise_number_error/raise_invalid_unicode_char	parser-assertion-abort	FIX	compile() of bytes source where the first token is a number immediately followed by invalid-UTF-8 byte triggers an RPython AssertionError -> SIGABRT. Not statically checkable by this toolkit (lives in PEG-parser-generated C, not reviewable RPython source). Recorded for completeness/known-issues tracking only.	fusil (danzin, 2026-08-19)	2026-08-19
PYPY-FUZZ-002	pypy/module/_struct (exact file TBD -- verify against release branch)	n/a	UnpackFormatIterator_append_utf8 -> rutf8.unichr_as_utf8	unvalidated-rpython-helper-call	FIX	struct.unpack("u", ...) reads 4 bytes as a codepoint and passes it to unichr_as_utf8 without validating range (must be <= U+10FFFF, not a surrogate). Leaks as SystemError: unexpected internal exception. CPython removed the legacy 'u' format in 3.9; PyPy still accepts it unguarded.	fusil (danzin, 2026-08-19)	2026-08-19
PYPY-FUZZ-003	pypy/module/_multibytecodec (exact file TBD -- verify against release branch)	n/a	MultibyteIncrementalEncoder_setstate_w -> rbigint.tobytes	unvalidated-rpython-helper-call	FIX	codecs.getincrementalencoder(<multibyte codec>)().setstate(<negative int>) hands the state straight to rbigint.tobytes() without checking its signedness precondition. Leaks as SystemError. Affects all 12 multibyte encoders + their StreamWriter; decoders (tuple state) are unaffected. rbigint.tobytes is correctly guarded elsewhere (int.to_bytes raises OverflowError properly) -- setstate looks like the one unvalidated caller.	fusil (danzin, 2026-08-19)	2026-08-19
PYPY-FUZZ-004	lib_pypy/_lzma.py (not present in main HEAD as cloned -- checkout/branch mismatch, see design doc note)	~562, ~575	post_decompress_avail_data, clear_input_buffer	missing-guard-plus-typo-double-free	FIX	Two defects: (a) line ~562 assigns self._input_buffer = ffi.NONE after freeing it -- ffi.NONE does not exist (should be ffi.NULL per the very next line's check), so the assignment raises AttributeError, leaving a stale freed pointer. (b) line ~575's clear_input_buffer does an unlocked check-then-free of the same field that decompress() correctly locks elsewhere on the same class. Either defect alone or combined produces a double free / SIGABRT, reproduced deterministically and under threading.	fusil (danzin, 2026-08-19)	2026-08-19
PYPY-FUZZ-005	pypy/module/_io/interp_textio.py (W_TextIOWrapper._dealloc_warn_w -- exact state TBD, see design doc note on version mismatch)	n/a	_dealloc_warn_w	missing-sibling-guard	FIX	TextIOWrapper.detach() followed by ._dealloc_warn(None) segfaults. pypy#5123's fix (7bc330cce0f) added a w_raw-is-None guard to the analogous method in interp_bufferedio.py (the buffered layer) but never touched interp_textio.py's w_buffer field (the text layer) -- an incomplete fix applied to only one layer of the wrapper stack. Every other method on a detached TextIOWrapper raises ValueError cleanly; only this one is unguarded.	fusil (danzin, 2026-08-19)	2026-08-19
PYPY-FUZZ-006	n/a (GC / allocation path, not pinned)	n/a	cyclic-finalizer collection after a caught MemoryError	crash-at-allocation-limit	FIX	Filling the heap with cyclic __del__ objects, CATCHING the resulting MemoryError, then gc.collect() segfaults (PyPy 6/6 at a 3072 MiB RLIMIT_AS; CPython 0/20 across five caps). The MemoryError is caught, so the program is in a state Python defines as recoverable. Distinguished from mere exhaustion by the ABSENCE of PyPy's clean 'out of memory: couldn't allocate the next arena' abort. Every line of the 14-line reproducer is load-bearing, including an `import weakref` that is never used -- substituting bytearrays or other imports does not restore it, so the threshold is in the GC heap's SHAPE, not its size. Needs an address-space limit; the reproducer sweeps a range because the window moves between machines and builds. Not statically checkable by this toolkit.	fusil (danzin, 2026-08-27)	2026-08-27
PYPY-FUZZ-007	lib/pypy3.11/multiprocessing/pool.py	314	_repopulate_pool_static / Pool.__init__	crash-at-allocation-limit	FIX	A no-argument multiprocessing.pool.ThreadPool() segfaults when the worker threads Pool.__init__ starts begin to fail against RLIMIT_AS. The intended outcome, which PyPy produces most of the time, is AttributeError: 'DummyProcess' object has no attribute 'terminate' from Pool.__init__'s own cleanup path; the bug is that the same situation sometimes segfaults instead. CPython raises cleanly under an identical limit and ballast (0/10). Highest-volume signature of the campaign (13 of 58 kept dirs in one fleet). The window is narrow and moves: adding a docstring to the reproducer shifted it by 150 MiB, so the shipped reproducer sweeps.	fusil (danzin, 2026-08-27)	2026-08-27
PYPY-FUZZ-008	unknown (PEG parser, C-generated)	n/a	_maybe_raise_number_error/unicodedata._db_index	unvalidated-rpython-helper-call	FIX	SECOND FACE of PYPY-FUZZ-001, same function, different call site. compile(b'0\xf5aa', ...) leaks an RPython KeyError as SystemError via the unicodedata table. Measured exhaustively over all 256 values of the byte following a digit, the outcome splits exactly along the UTF-8 validity classes: 0x80-0xC1 plus 0xE0/0xF0 abort (FUZZ-001), 0xF5-0xFF -- the bytes that could only encode above U+10FFFF -- leak here, everything else raises SyntaxError. Needs TWO further bytes after the lead byte, which is why b'0\xff' looked harmless as a negative control. Same producer as FUZZ-001 and FUZZ-012; fixing the producer would likely close all three. Not statically checkable by this toolkit.	fusil (danzin, 2026-08-27)	2026-08-27
PYPY-FUZZ-009	n/a (C heap, mechanism unknown)	n/a	unknown	crash-at-allocation-limit	FIX	glibc reports heap corruption ('free(): double free detected in tcache 2') at an address-space limit, where PyPy's own exhaustion abort is clean. Reproduced in TWO unrelated modules (functools, importlib.resources._common) in different fleet instances, which argues interpreter-level rather than module-specific. 8/8 at 3072 MiB; CPython clean at every cap. MECHANISM UNKNOWN and two hypotheses were tested and killed: a mishandled thread-bootstrap allocation (4000 threads under the limit with 0-3000 MiB ballast produced no corruption), and libmpdec through cffi (PyPy has no _decimal module at all). Two distinct windows exist (1536 and 3072 MiB); a four-point sweep finds one and misses the other.	fusil (danzin, 2026-08-27)	2026-08-27
PYPY-FUZZ-010	lib/pypy3.11/threading.py	1630	threading._after_fork / _weakrefset.discard	crash-after-fork-from-thread	FIX	SIGILL in the CHILD after fork() from a non-main thread, inside threading._after_fork walking a weakref set. Reached via concurrent multiprocessing.popen_fork.Popen() from worker threads, including re-running __init__ on an already-constructed Popen (the parent side of _launch succeeds even for a non-Process argument). The only SIGILL of the campaign across six fleets. PyPy 12/12 on the original script, 3/12 on the 109-line reduction -- it is a race, so the rate falls with size; CPython clean. An illegal instruction under an all-Python stack means an RPython ll_assert compiled to a trap or JIT code running in a state that no longer holds.	fusil (danzin, 2026-08-27)	2026-08-27
